default,balance,housing,loan
no,2143,yes,no
no,29,yes,no
no,2,yes,yes
no,1506,yes,no
no,1,no,no
no,231,yes,no
no,447,yes,yes
yes,2,yes,no
no,121,yes,no
no,593,yes,no
no,270,yes,no
no,390,yes,no
no,6,yes,no
no,71,yes,no
no,162,yes,no
no,229,yes,no
no,13,yes,no
no,52,yes,no
no,60,yes,no
no,0,yes,no
no,723,yes,yes
no,779,yes,no
no,23,yes,yes
no,50,yes,no
no,0,yes,yes
no,-372,yes,no
no,255,yes,no
no,113,yes,yes
no,-246,yes,no
no,265,yes,yes
no,839,no,yes
no,378,yes,no
no,39,yes,yes
no,0,yes,no
no,10635,yes,no
no,63,yes,no
no,-7,yes,no
no,-3,no,no
no,506,yes,no
no,0,yes,no
no,2586,yes,no
no,49,yes,no
no,104,yes,no
no,529,yes,no
no,96,yes,no
no,-171,yes,no
no,-364,yes,no
no,0,yes,no
no,0,no,no
no,0,yes,no
no,1291,yes,no
no,-244,yes,no
no,0,yes,no
no,-76,yes,no
no,-103,yes,yes
no,243,no,yes
no,424,yes,no
no,306,yes,no
no,24,yes,no
no,179,yes,no
no,0,yes,no
no,989,yes,no
no,249,yes,no
no,790,yes,no
no,154,yes,no
no,6530,yes,no
no,100,no,no
no,59,yes,no
no,1205,yes,no
no,12223,yes,yes
no,5935,yes,yes
no,25,yes,yes
no,282,yes,yes
no,23,yes,no
no,1937,yes,no
no,384,yes,no
no,582,no,yes
no,91,no,no
no,0,yes,yes
yes,1,yes,no
no,206,yes,no
no,164,no,no
no,690,yes,no
no,2343,yes,no
no,137,yes,yes
no,173,yes,no
no,45,no,no
no,1270,yes,no
no,16,yes,yes
no,486,yes,no
no,50,no,no
no,152,yes,yes
no,290,yes,no
no,54,yes,no
no,-37,no,no
no,101,yes,yes
no,383,no,no
no,81,yes,no
no,0,yes,no
no,229,yes,no
no,-674,yes,no
no,90,no,no
no,128,yes,no
no,179,yes,no
no,0,yes,no
no,54,yes,no
no,151,yes,no
no,61,no,yes
no,30,yes,no
no,523,yes,no
no,31,yes,no
no,79,no,no
no,-34,yes,yes
no,448,yes,no
no,81,yes,no
no,144,yes,no
no,351,yes,no
no,-67,yes,no
no,262,no,no
no,0,no,no
no,56,yes,no
no,26,yes,no
no,3,yes,no
no,41,yes,yes
no,7,no,yes
no,105,yes,no
no,818,yes,yes
no,-16,yes,yes
no,0,yes,no
no,2476,yes,no
no,1185,no,no
no,217,yes,no
no,1685,yes,no
no,802,yes,yes
no,0,yes,no
no,94,yes,no
no,0,yes,no
no,0,no,no
no,517,yes,no
no,265,yes,no
no,947,yes,no
no,3,yes,no
no,42,no,no
no,37,yes,no
no,57,yes,no
no,22,yes,no
no,8,yes,no
no,293,yes,no
no,3,yes,no
no,348,yes,no
no,-19,yes,no
no,0,yes,no
no,-4,yes,no
no,18,yes,no
no,139,no,no
no,0,yes,no
no,1883,yes,no
no,216,yes,no
no,782,yes,no
no,904,yes,no
no,1705,yes,no
no,47,yes,no
no,176,yes,no
no,1225,yes,no
no,86,yes,no
no,82,yes,no
no,271,yes,no
no,1378,yes,no
no,184,no,no
no,0,no,no
no,0,yes,no
no,1357,yes,yes
no,19,yes,no
no,434,no,no
no,92,yes,no
no,1151,yes,no
no,41,yes,no
no,51,yes,no
no,214,yes,no
no,1161,yes,no
no,37,yes,no
